run_date,index_name,close,ma20,ma20_gap_pct
2026-08-10,KOSPI,6299.66,6515.97,-3.32
2026-08-10,KOSDAQ,854.47,763.39,11.93
2026-08-11,KOSPI,6345.53,6492.90,-2.27
2026-08-11,KOSDAQ,857.84,766.31,11.94
2026-08-12,KOSPI,6579.04,6479.01,1.54
2026-08-12,KOSDAQ,858.91,770.06,11.54
2026-08-13,KOSPI,6813.34,6455.45,5.54
2026-08-13,KOSDAQ,861.37,771.65,11.63
2026-08-14,KOSPI,6977.94,6463.32,7.96
2026-08-14,KOSDAQ,864.65,775.29,11.53
2026-08-18,KOSPI,6869.83,6481.00,6.00
2026-08-18,KOSDAQ,834.2,779.52,7.01
2026-08-19,KOSPI,6471.17,6467.16,0.06
2026-08-19,KOSDAQ,824.46,783.08,5.28
2026-08-20,KOSPI,6852.58,6469.90,5.91
2026-08-20,KOSDAQ,840.89,787.57,6.77
2026-08-21,KOSPI,6912.95,6460.71,7.00
2026-08-21,KOSDAQ,801.94,788.15,1.75
